employee_id,experience_years,test_score,education_level,department,location,salary_etb
1,1.2,72,Bachelor,Engineering,Addis Ababa,480000
2,2.5,85,Bachelor,IT,Addis Ababa,520000
3,0.8,68,Bachelor,Engineering,Bahir Dar,420000
4,3.1,78,Master,Data Science,Addis Ababa,680000
5,1.8,74,Bachelor,Software,Addis Ababa,510000
6,4.2,88,Master,Engineering,Addis Ababa,750000
7,0.5,65,Bachelor,IT,Dire Dawa,380000
8,2.8,82,Bachelor,Software,Addis Ababa,580000
9,5.1,91,Master,Data Science,Addis Ababa,920000
10,1.5,70,Bachelor,Engineering,Mekelle,450000
11,3.8,86,Master,IT,Addis Ababa,720000
12,0.9,69,Bachelor,Software,Addis Ababa,460000
13,6.2,94,PhD,Data Science,Addis Ababa,1200000
14,2.1,76,Bachelor,Engineering,Bahir Dar,540000
15,4.5,89,Master,Software,Addis Ababa,820000
16,1.1,71,Bachelor,IT,Addis Ababa,490000
17,3.5,84,Master,Engineering,Addis Ababa,710000
18,0.7,66,Bachelor,Software,Hawassa,400000
19,7.8,96,PhD,Data Science,Addis Ababa,1350000
20,2.3,79,Bachelor,IT,Addis Ababa,560000
21,4.8,90,Master,Engineering,Addis Ababa,850000
22,1.4,73,Bachelor,Software,Addis Ababa,500000
23,5.5,92,Master,Data Science,Addis Ababa,980000
24,0.6,64,Bachelor,IT,Jimma,370000
25,3.2,81,Bachelor,Engineering,Addis Ababa,620000
26,8.1,97,PhD,Software,Addis Ababa,1400000
27,2.7,80,Bachelor,Data Science,Addis Ababa,590000
28,4.1,87,Master,IT,Addis Ababa,780000
29,1.3,72,Bachelor,Engineering,Gondar,470000
30,6.5,93,Master,Software,Addis Ababa,1100000
31,0.4,63,Bachelor,IT,Adama,360000
32,3.9,85,Master,Data Science,Addis Ababa,760000
33,2.6,78,Bachelor,Engineering,Addis Ababa,570000
34,5.8,91,Master,Software,Addis Ababa,1050000
35,1.7,75,Bachelor,IT,Addis Ababa,520000
36,4.3,88,Master,Engineering,Addis Ababa,810000
37,0.8,67,Bachelor,Data Science,Dessie,410000
38,7.2,95,PhD,IT,Addis Ababa,1280000
39,2.4,77,Bachelor,Software,Addis Ababa,550000
40,3.7,83,Bachelor,Engineering,Addis Ababa,650000
41,1.6,74,Bachelor,Data Science,Addis Ababa,530000
42,5.2,90,Master,IT,Addis Ababa,940000
43,0.9,68,Bachelor,Software,Bahir Dar,440000
44,4.6,89,Master,Engineering,Addis Ababa,870000
45,2.9,81,Bachelor,Data Science,Addis Ababa,600000
46,6.8,94,Master,Software,Addis Ababa,1150000
47,1.0,70,Bachelor,IT,Addis Ababa,480000
48,3.4,82,Bachelor,Engineering,Addis Ababa,640000
49,8.5,98,PhD,Data Science,Addis Ababa,1450000
50,2.2,76,Bachelor,Software,Addis Ababa,540000
51,4.9,88,Master,IT,Addis Ababa,890000
52,1.8,73,Bachelor,Engineering,Mekelle,510000
53,5.6,92,Master,Data Science,Addis Ababa,1020000
54,0.7,65,Bachelor,Software,Hawassa,390000
55,3.6,84,Bachelor,IT,Addis Ababa,660000
56,7.5,96,PhD,Engineering,Addis Ababa,1320000
57,2.5,79,Bachelor,Data Science,Addis Ababa,580000
58,4.4,87,Master,Software,Addis Ababa,840000
59,1.2,71,Bachelor,IT,Dire Dawa,470000
60,6.1,93,Master,Engineering,Addis Ababa,1080000
61,0.5,64,Bachelor,Data Science,Jimma,350000
62,3.8,85,Bachelor,Software,Addis Ababa,670000
63,2.8,80,Bachelor,IT,Addis Ababa,590000
64,5.3,91,Master,Engineering,Addis Ababa,960000
65,1.5,74,Bachelor,Data Science,Addis Ababa,520000
66,4.7,89,Master,Software,Addis Ababa,880000
67,0.9,68,Bachelor,IT,Gondar,430000
68,7.9,97,PhD,Engineering,Addis Ababa,1380000
69,2.6,78,Bachelor,Data Science,Addis Ababa,570000
